price,bed,bath,acre_lot,city,house_size
700000.0,4,4.0,0.75,Charlotte,3848.0
499000.0,4,3.0,0.59,Charlotte,2822.0
450290.0,4,3.0,0.28,Charlotte,2208.0
245000.0,3,2.0,0.77,Charlotte,1374.0
410000.0,3,3.0,0.23,Charlotte,2099.0
450000.0,4,3.0,0.54,Charlotte,2420.0
422320.0,3,3.0,0.2,Charlotte,2099.0
352000.0,4,3.0,0.11,Charlotte,2084.0
436290.0,4,3.0,0.2,Charlotte,2208.0
378885.0,3,2.0,0.2,Charlotte,1648.0
378665.0,3,2.0,0.2,Charlotte,1542.0
325000.0,4,3.0,0.2,Charlotte,3571.0
275000.0,3,3.0,0.11,Charlotte,1659.0
450450.0,4,3.0,0.2,Charlotte,2208.0
425000.0,3,2.0,0.23,Charlotte,2251.0
400000.0,3,2.0,1.35,Charlotte,1843.0
750000.0,5,4.0,0.36,Charlotte,3885.0
365000.0,2,3.0,0.03,Charlotte,1507.0
395000.0,3,2.0,0.96,Charlotte,1881.0
460000.0,4,3.0,0.18,Charlotte,2258.0
405000.0,4,3.0,0.1,Charlotte,3072.0
603000.0,4,3.0,0.33,Charlotte,3189.0
410000.0,3,3.0,0.08,Charlotte,2062.0
700000.0,3,3.0,0.06,Charlotte,2733.0
450000.0,3,3.0,0.21,Charlotte,2116.0
375000.0,3,3.0,0.43,Charlotte,1755.0
320000.0,3,3.0,0.04,Charlotte,1786.0
713695.0,5,4.0,0.19,Charlotte,3100.0
415000.0,3,3.0,0.26,Charlotte,1976.0
395000.0,3,2.0,0.27,Charlotte,1506.0
481714.0,3,4.0,0.06,Charlotte,2051.0
545000.0,3,5.0,0.04,Charlotte,2676.0
1450000.0,6,7.0,1.29,Charlotte,6897.0
430000.0,3,2.0,0.3,Charlotte,1892.0
505000.0,4,3.0,0.21,Charlotte,2325.0
550000.0,3,3.0,0.38,Charlotte,2684.0
325000.0,3,3.0,0.05,Charlotte,1654.0
557800.0,3,5.0,0.03,Charlotte,2608.0
650000.0,4,3.0,0.05,Charlotte,2193.0
350000.0,3,3.0,0.06,Charlotte,2082.0
995000.0,3,3.0,0.07,Charlotte,2362.0
615000.0,3,4.0,0.15,Charlotte,2104.0
399000.0,3,3.0,0.28,Charlotte,1360.0
605000.0,4,2.0,0.22,Charlotte,1228.0
995000.0,4,3.0,0.21,Charlotte,2716.0
899000.0,3,2.0,0.22,Charlotte,2227.0
299800.0,2,1.0,0.21,Charlotte,1053.0
376000.0,3,2.0,0.43,Charlotte,1315.0
415000.0,4,3.0,0.27,Charlotte,1746.0
749900.0,4,2.0,0.22,Charlotte,2065.0
355000.0,3,1.0,0.18,Charlotte,1033.0
425000.0,2,2.0,0.61,Charlotte,1149.0
340000.0,3,2.0,0.22,Charlotte,1143.0
369900.0,2,2.0,0.16,Charlotte,928.0
4500000.0,5,6.0,0.64,Charlotte,6563.0
1400000.0,4,4.0,0.4,Charlotte,3563.0
2500000.0,5,8.0,0.44,Charlotte,7183.0
1675000.0,3,4.0,0.08,Charlotte,3358.0
725000.0,3,3.0,0.24,Charlotte,1914.0
1300000.0,5,4.0,0.32,Charlotte,3493.0
1600000.0,5,5.0,0.21,Charlotte,4935.0
1050000.0,3,3.0,0.25,Charlotte,2433.0
1250000.0,4,3.0,0.21,Charlotte,3490.0
2350000.0,4,4.0,0.42,Charlotte,3623.0
299900.0,3,2.0,0.23,Charlotte,1374.0
399900.0,2,2.0,0.2,Charlotte,1294.0
445000.0,3,1.0,0.19,Charlotte,1171.0
399000.0,3,2.0,0.29,Charlotte,1332.0
1495000.0,4,4.0,0.24,Charlotte,3522.0
700000.0,4,3.0,0.15,Charlotte,2134.0
300000.0,2,1.0,0.26,Charlotte,992.0
725000.0,3,2.0,0.34,Charlotte,1759.0
1425000.0,4,5.0,0.27,Charlotte,3267.0
2500000.0,6,5.0,0.25,Charlotte,4692.0
750000.0,3,4.0,0.09,Charlotte,2189.0
454888.0,2,1.0,0.17,Charlotte,876.0
2299900.0,5,5.0,0.25,Charlotte,3864.0
800000.0,3,4.0,0.05,Charlotte,3084.0
675000.0,3,2.0,0.4,Charlotte,1598.0
775000.0,4,4.0,0.1,Charlotte,2874.0
